code,label,original_label,repo,pr_number
"diff --git a/packages/core/src/global_context.rs b/packages/core/src/global_context.rs
index da05b2d9f2..451ac07a6c 100644
--- a/packages/core/src/global_context.rs
+++ b/packages/core/src/global_context.rs
@@ -310,34 +310,38 @@ pub fn use_hook<State: Clone + 'static>(initializer: impl FnOnce() -> State) ->
     Runtime::with_current_scope(|cx| cx.use_hook(initializer)).unwrap()
 }
 
-/// Get the current render since the inception of this component
+/// Get the current render since the inception of this component.
 ///
-/// This can be used as a helpful diagnostic when debugging hooks/renders, etc
+/// This can be used as a helpful diagnostic when debugging hooks/renders, etc.
 pub fn generation() -> usize {
     Runtime::with_current_scope(|cx| cx.generation()).unwrap()
 }
 
-/// Get the parent of the current scope if it exists
+/// Get the parent of the current scope if it exists.
 pub fn parent_scope() -> Option<ScopeId> {
     Runtime::with_current_scope(|cx| cx.parent_id())
         .ok()
         .flatten()
 }
 
-/// Mark the current scope as dirty, causing it to re-render
+/// Mark the current scope as dirty, causing it to re-render.
 pub fn needs_update() {
     let _ = Runtime::with_current_scope(|cx| cx.needs_update());
 }
 
-/// Mark the current scope as dirty, causing it to re-render
+/// Mark the current scope as dirty, causing it to re-render.
 pub fn needs_update_any(id: ScopeId) {
     let _ = Runtime::with_current_scope(|cx| cx.needs_update_any(id));
 }
 
-/// Schedule an update for the current component
+/// Schedule an update for the current component.
 ///
 /// Note: Unlike [`needs_update`], the function returned by this method will work outside of the dioxus runtime.
 ///
+/// Note: The function returned by this method will schedule an update for the current component even if it has already updated between when `schedule_update` was called and when the returned function is called.
+/// If the desired behavior is to invalidate the current renderi",ok,APPROVE,DioxusLabs/dioxus,4127
"diff --git a/packages/core/src/global_context.rs b/packages/core/src/global_context.rs
index da05b2d9f2..3f950bc2e7 100644
--- a/packages/core/src/global_context.rs
+++ b/packages/core/src/global_context.rs
@@ -310,34 +310,38 @@ pub fn use_hook<State: Clone + 'static>(initializer: impl FnOnce() -> State) ->
     Runtime::with_current_scope(|cx| cx.use_hook(initializer)).unwrap()
 }
 
-/// Get the current render since the inception of this component
+/// Get the current render since the inception of this component.
 ///
-/// This can be used as a helpful diagnostic when debugging hooks/renders, etc
+/// This can be used as a helpful diagnostic when debugging hooks/renders, etc.
 pub fn generation() -> usize {
     Runtime::with_current_scope(|cx| cx.generation()).unwrap()
 }
 
-/// Get the parent of the current scope if it exists
+/// Get the parent of the current scope if it exists.
 pub fn parent_scope() -> Option<ScopeId> {
     Runtime::with_current_scope(|cx| cx.parent_id())
         .ok()
         .flatten()
 }
 
-/// Mark the current scope as dirty, causing it to re-render
+/// Mark the current scope as dirty, causing it to re-render.
 pub fn needs_update() {
     let _ = Runtime::with_current_scope(|cx| cx.needs_update());
 }
 
-/// Mark the current scope as dirty, causing it to re-render
+/// Mark the current scope as dirty, causing it to re-render.
 pub fn needs_update_any(id: ScopeId) {
     let _ = Runtime::with_current_scope(|cx| cx.needs_update_any(id));
 }
 
-/// Schedule an update for the current component
+/// Schedule an update for the current component.
 ///
 /// Note: Unlike [`needs_update`], the function returned by this method will work outside of the dioxus runtime.
 ///
+/// Note: The function returned by this method will schedule an update for the current component even if it has already updated between when `schedule_update` was called and when the returned function is called.
+/// If the desired behavior is to invalidate the current renderi",style,REQUEST_CHANGES,DioxusLabs/dioxus,4127
"diff --git a/.github/workflows/main.yml b/.github/workflows/main.yml
index 883dc4d3fd..845ff27b87 100644
--- a/.github/workflows/main.yml
+++ b/.github/workflows/main.yml
@@ -73,7 +73,7 @@ jobs:
         uses: ./.github/actions/free-disk-space
       - uses: awalsh128/cache-apt-pkgs-action@latest
         with:
-          packages: libwebkit2gtk-4.1-dev libgtk-3-dev libayatana-appindicator3-dev libxdo-dev libglib2.0-dev
+          packages: libwebkit2gtk-4.1-dev libgtk-3-dev libasound2-dev libudev-dev libayatana-appindicator3-dev libxdo-dev libglib2.0-dev
           version: 1.0
       - uses: dtolnay/rust-toolchain@1.86.0
         with:
@@ -94,7 +94,7 @@ jobs:
         uses: ./.github/actions/free-disk-space
       - uses: awalsh128/cache-apt-pkgs-action@latest
         with:
-          packages: libwebkit2gtk-4.1-dev libgtk-3-dev libayatana-appindicator3-dev libxdo-dev libglib2.0-dev
+          packages: libwebkit2gtk-4.1-dev libgtk-3-dev libasound2-dev libudev-dev libayatana-appindicator3-dev libxdo-dev libglib2.0-dev
           version: 1.0
       - uses: dtolnay/rust-toolchain@1.86.0
         with:
@@ -127,7 +127,7 @@ jobs:
       - uses: actions/checkout@v4
       - uses: awalsh128/cache-apt-pkgs-action@latest
         with:
-          packages: libwebkit2gtk-4.1-dev libgtk-3-dev libayatana-appindicator3-dev libxdo-dev libglib2.0-dev
+          packages: libwebkit2gtk-4.1-dev libgtk-3-dev libasound2-dev libudev-dev libayatana-appindicator3-dev libxdo-dev libglib2.0-dev
           version: 1.0
       - name: Install Rust ${{ env.rust_nightly }}
         uses: dtolnay/rust-toolchain@nightly
@@ -150,7 +150,7 @@ jobs:
       - uses: actions/checkout@v4
       - uses: awalsh128/cache-apt-pkgs-action@latest
         with:
-          packages: libwebkit2gtk-4.1-dev libgtk-3-dev libayatana-appindicator3-dev libxdo-dev libglib2.0-dev
+          packages: libwebkit2gtk-4.1-dev libgtk-3-dev libasound2-dev libudev-dev libayatana-appindicator3-dev libxdo-dev libglib2.0-dev",ok,APPROVE,DioxusLabs/dioxus,4360
"diff --git a/Cargo.lock b/Cargo.lock
index 77482ee279..8d7d6410ed 100644
--- a/Cargo.lock
+++ b/Cargo.lock
@@ -24,14 +24,20 @@ version = ""0.17.1""
 source = ""registry+https://github.com/rust-lang/crates.io-index""
 checksum = ""d3d3b8f9bae46a948369bc4a03e815d4ed6d616bd00de4051133a5019dc31c5a""
 
+[[package]]
+name = ""accesskit""
+version = ""0.18.0""
+source = ""registry+https://github.com/rust-lang/crates.io-index""
+checksum = ""becf0eb5215b6ecb0a739c31c21bd83c4f326524c9b46b7e882d77559b60a529""
+
 [[package]]
 name = ""accesskit_atspi_common""
 version = ""0.10.1""
 source = ""registry+https://github.com/rust-lang/crates.io-index""
 checksum = ""7c5dd55e6e94949498698daf4d48fb5659e824d7abec0d394089656ceaf99d4f""
 dependencies = [
- ""accesskit"",
- ""accesskit_consumer"",
+ ""accesskit 0.17.1"",
+ ""accesskit_consumer 0.26.0"",
  ""atspi-common"",
  ""serde"",
  ""thiserror 1.0.69"",
@@ -44,7 +50,18 @@ version = ""0.26.0""
 source = ""registry+https://github.com/rust-lang/crates.io-index""
 checksum = ""f47983a1084940ba9a39c077a8c63e55c619388be5476ac04c804cfbd1e63459""
 dependencies = [
- ""accesskit"",
+ ""accesskit 0.17.1"",
+ ""hashbrown 0.15.4"",
+ ""immutable-chunkmap"",
+]
+
+[[package]]
+name = ""accesskit_consumer""
+version = ""0.27.0""
+source = ""registry+https://github.com/rust-lang/crates.io-index""
+checksum = ""d0bf66a7bf0b7ea4fd7742d50b64782a88f99217cf246b3f93b4162528dde520""
+dependencies = [
+ ""accesskit 0.18.0"",
  ""hashbrown 0.15.4"",
  ""immutable-chunkmap"",
 ]
@@ -55,8 +72,22 @@ version = ""0.18.1""
 source = ""registry+https://github.com/rust-lang/crates.io-index""
 checksum = ""7329821f3bd1101e03a7d2e03bd339e3ac0dc64c70b4c9f9ae1949e3ba8dece1""
 dependencies = [
- ""accesskit"",
- ""accesskit_consumer"",
+ ""accesskit 0.17.1"",
+ ""accesskit_consumer 0.26.0"",
+ ""hashbrown 0.15.4"",
+ ""objc2 0.5.2"",
+ ""objc2-app-kit 0.2.2"",
+ ""objc2-foundation 0.2.2"",
+]
+
+[[package]]
+name = ""accesskit_macos""
+version = ""0.19.0""
+source = ""registry+https://github.com/rust-lang/crates.io-index""
+checksum = ""09e230718177753b4e4ad9",style,REQUEST_CHANGES,DioxusLabs/dioxus,4360
"diff --git a/NEWS.md b/NEWS.md
index 5d9bf83467b77..018a556698549 100644
--- a/NEWS.md
+++ b/NEWS.md
@@ -26,6 +26,7 @@ Command-line option changes
 ---------------------------
 
 * The option `--sysimage-native-code=no` has been deprecated.
+* The `JULIA_CPU_TARGET` environment variable now supports a `sysimage` keyword to match (or extend) the CPU target used to build the current system image ([#58970]).
 
 Multi-threading changes
 -----------------------
@@ -47,6 +48,7 @@ New library functions
 * `ispositive(::Real)` and `isnegative(::Real)` are provided for performance and convenience ([#53677]).
 * Exporting function `fieldindex` to get the index of a struct's field ([#58119]).
 * `Base.donotdelete` is now public. It prevents deadcode elemination of its arguments ([#55774]).
+* `Sys.sysimage_target()` returns the CPU target string used to build the current system image ([#58970]).
 
 New library features
 --------------------
diff --git a/base/sysinfo.jl b/base/sysinfo.jl
index 5e1a26973331e..06e5cd298caf1 100644
--- a/base/sysinfo.jl
+++ b/base/sysinfo.jl
@@ -16,6 +16,7 @@ export BINDIR,
        JIT,
        cpu_info,
        cpu_summary,
+       sysimage_target,
        uptime,
        loadavg,
        free_memory,
@@ -312,6 +313,23 @@ function cpu_info()
     return cpus
 end
 
+""""""
+    Sys.sysimage_target()
+
+Return the CPU target string that was used to build the current system image.
+
+This function returns the original CPU target specification that was passed to Julia
+when the system image was compiled. This can be useful for reproducing the same
+system image or for understanding what CPU features were enabled during compilation.
+
+If the system image was built with the default settings this will return `""native""`.
+
+See also [`JULIA_CPU_TARGET`](@ref).
+""""""
+function sysimage_target()
+    return ccall(:jl_get_sysimage_cpu_target, Ref{String}, ())
+end
+
 """"""
     Sys.uptime()
 
diff --git a/doc/src/base/base.md b/doc/src/base/base.md
index fafe08",ok,APPROVE,JuliaLang/julia,58970
"diff --git a/NEWS.md b/NEWS.md
index 5d9bf83467b77..018a556698549 100644
--- a/NEWS.md
+++ b/NEWS.md
@@ -26,6 +26,7 @@ Command-line option changes
 ---------------------------
 
 * The option `--sysimage-native-code=no` has been deprecated.
+* The `JULIA_CPU_TARGET` environment variable now supports a `sysimage` keyword to match (or extend) the CPU target used to build the current system image ([#58970]).
 
 Multi-threading changes
 -----------------------
@@ -47,6 +48,7 @@ New library functions
 * `ispositive(::Real)` and `isnegative(::Real)` are provided for performance and convenience ([#53677]).
 * Exporting function `fieldindex` to get the index of a struct's field ([#58119]).
 * `Base.donotdelete` is now public. It prevents deadcode elemination of its arguments ([#55774]).
+* `Sys.sysimage_target()` returns the CPU target string used to build the current system image ([#58970]).
 
 New library features
 --------------------
diff --git a/base/sysinfo.jl b/base/sysinfo.jl
index 5e1a26973331e..06e5cd298caf1 100644
--- a/base/sysinfo.jl
+++ b/base/sysinfo.jl
@@ -16,6 +16,7 @@ export BINDIR,
        JIT,
        cpu_info,
        cpu_summary,
+       sysimage_target,
        uptime,
        loadavg,
        free_memory,
@@ -312,6 +313,23 @@ function cpu_info()
     return cpus
 end
 
+""""""
+    Sys.sysimage_target()
+
+Return the CPU target string that was used to build the current system image.
+
+This function returns the original CPU target specification that was passed to Julia
+when the system image was compiled. This can be useful for reproducing the same
+system image or for understanding what CPU features were enabled during compilation.
+
+If the system image was built with the default settings this will return `""native""`.
+
+See also [`JULIA_CPU_TARGET`](@ref).
+""""""
+function sysimage_target()
+    return ccall(:jl_get_sysimage_cpu_target, Ref{String}, ())
+end
+
 """"""
     Sys.uptime()
 
diff --git a/doc/src/base/base.md b/doc/src/base/base.md
index fafe08",style,REQUEST_CHANGES,JuliaLang/julia,58970
"diff --git a/changelog/unreleased/kong/fix-declarative-config-load.yml b/changelog/unreleased/kong/fix-declarative-config-load.yml
new file mode 100644
index 00000000000..0c6ddeed81e
--- /dev/null
+++ b/changelog/unreleased/kong/fix-declarative-config-load.yml
@@ -0,0 +1,3 @@
+message: ""Fixed an issue where a valid declarative config with certificate/sni entities cannot be loaded in dbless mode""
+type: bugfix
+scope: Core
diff --git a/kong/db/schema/others/declarative_config.lua b/kong/db/schema/others/declarative_config.lua
index 104fb917441..5e29ffda318 100644
--- a/kong/db/schema/others/declarative_config.lua
+++ b/kong/db/schema/others/declarative_config.lua
@@ -626,7 +626,7 @@ local function generate_ids(input, known_entities, parent_entity)
     local child_key
     if parent_entity then
       local parent_schema = all_schemas[parent_entity]
-      if parent_schema.fields[entity] then
+      if parent_schema.fields[entity] and not parent_schema.fields[entity].transient then
         goto continue
       end
       parent_fk = parent_schema:extract_pk_values(input)
@@ -663,7 +663,7 @@ local function populate_ids_for_validation(input, known_entities, parent_entity,
     local child_key
     if parent_entity then
       local parent_schema = all_schemas[parent_entity]
-      if parent_schema.fields[entity] then
+      if parent_schema.fields[entity] and not parent_schema.fields[entity].transient then
         goto continue
       end
       parent_fk = parent_schema:extract_pk_values(input)
diff --git a/spec/01-unit/01-db/10-declarative_spec.lua b/spec/01-unit/01-db/10-declarative_spec.lua
index a383daaeaf3..2d27887888d 100644
--- a/spec/01-unit/01-db/10-declarative_spec.lua
+++ b/spec/01-unit/01-db/10-declarative_spec.lua
@@ -1,6 +1,9 @@
 require(""spec.helpers"") -- for kong.log
 local declarative = require ""kong.db.declarative""
 local conf_loader = require ""kong.conf_loader""
+local uuid = require ""kong.tools.uuid""
+
+local pl_file = require ""pl.file""
 
 local n",ok,APPROVE,Kong/kong,14082
"diff --git a/changelog/unreleased/kong/fix-declarative-config-load.yml b/changelog/unreleased/kong/fix-declarative-config-load.yml
new file mode 100644
index 00000000000..0c6ddeed81e
--- /dev/null
+++ b/changelog/unreleased/kong/fix-declarative-config-load.yml
@@ -0,0 +1,3 @@
+message: ""Fixed an issue where a valid declarative config with certificate/sni entities cannot be loaded in dbless mode""
+type: bugfix
+scope: Core
diff --git a/kong/db/schema/others/declarative_config.lua b/kong/db/schema/others/declarative_config.lua
index 104fb917441..fa8fa995cb9 100644
--- a/kong/db/schema/others/declarative_config.lua
+++ b/kong/db/schema/others/declarative_config.lua
@@ -663,7 +663,7 @@ local function populate_ids_for_validation(input, known_entities, parent_entity,
     local child_key
     if parent_entity then
       local parent_schema = all_schemas[parent_entity]
-      if parent_schema.fields[entity] then
+      if parent_schema.fields[entity] and not parent_schema.fields[entity].transient then
         goto continue
       end
       parent_fk = parent_schema:extract_pk_values(input)
diff --git a/spec/01-unit/01-db/10-declarative_spec.lua b/spec/01-unit/01-db/10-declarative_spec.lua
index a383daaeaf3..4b09cb6c665 100644
--- a/spec/01-unit/01-db/10-declarative_spec.lua
+++ b/spec/01-unit/01-db/10-declarative_spec.lua
@@ -64,4 +64,14 @@ keyauth_credentials:
     end)
   end)
 
+  it(""parse nested entity correctly"", function ()
+    local dc = declarative.new_config(conf_loader())
+    local entities, err = dc:parse_string([[{""_format_version"": ""3.0"",""consumers"": [{""username"": ""consumerA"",""basicauth_credentials"": [{""username"": ""qwerty"",""password"": ""qwerty""}]}],""certificates"": [{""id"": ""eab647a0-314a-4c26-94ec-3e9d78e4293f"",""cert"": ""-----BEGIN CERTIFICATE-----\nMIIDzTCCArWgAwIBAgIUMmq4W4is+P02LXKinUdLoPjFuDYwDQYJKoZIhvcNAQEL\nBQAwdjELMAkGA1UEBhMCVVMxEzARBgNVBAgMCkNhbGlmb3JuaWExFjAUBgNVBAcM\nDVNhbiBGcmFuY2lzY28xIDAeBgNVBAoMF0tvbmcgQ2x1c3RlcmluZyBUZXN0aW5n\nMRgwFgYDVQQDD",bug,REQUEST_CHANGES,Kong/kong,14082
"diff --git a/Libraries/LibWeb/Bindings/Intrinsics.cpp b/Libraries/LibWeb/Bindings/Intrinsics.cpp
index d327dbeada41..5b8cd81ef72a 100644
--- a/Libraries/LibWeb/Bindings/Intrinsics.cpp
+++ b/Libraries/LibWeb/Bindings/Intrinsics.cpp
@@ -24,11 +24,6 @@ void Intrinsics::visit_edges(JS::Cell::Visitor& visitor)
     visitor.visit(m_realm);
 }
 
-bool Intrinsics::is_exposed(StringView name) const
-{
-    return m_constructors.contains(name) || m_prototypes.contains(name) || m_namespaces.contains(name);
-}
-
 Intrinsics& host_defined_intrinsics(JS::Realm& realm)
 {
     ASSERT(realm.host_defined());
diff --git a/Libraries/LibWeb/Bindings/Intrinsics.h b/Libraries/LibWeb/Bindings/Intrinsics.h
index e4ab1850d522..198aae36f3e6 100644
--- a/Libraries/LibWeb/Bindings/Intrinsics.h
+++ b/Libraries/LibWeb/Bindings/Intrinsics.h
@@ -66,7 +66,8 @@ class Intrinsics final : public JS::Cell {
         return *m_constructors.find(class_name)->value;
     }
 
-    bool is_exposed(StringView name) const;
+    template<typename PrototypeType>
+    bool is_interface_exposed(JS::Realm&) const;
 
 private:
     virtual void visit_edges(JS::Cell::Visitor&) override;
diff --git a/Libraries/LibWeb/Bindings/Serializable.h b/Libraries/LibWeb/Bindings/Serializable.h
index d31b08bd9732..826ac52f98df 100644
--- a/Libraries/LibWeb/Bindings/Serializable.h
+++ b/Libraries/LibWeb/Bindings/Serializable.h
@@ -16,7 +16,7 @@ class Serializable {
 public:
     virtual ~Serializable() = default;
 
-    virtual StringView interface_name() const = 0;
+    virtual HTML::SerializeType serialize_type() const = 0;
 
     // https://html.spec.whatwg.org/multipage/structured-data.html#serialization-steps
     virtual WebIDL::ExceptionOr<void> serialization_steps(HTML::SerializationRecord&, bool for_storage, HTML::SerializationMemory&) = 0;
diff --git a/Libraries/LibWeb/Crypto/CryptoKey.h b/Libraries/LibWeb/Crypto/CryptoKey.h
index 464a64102192..7f601a254a75 100644
--- a/Libraries/LibWeb/Crypto/CryptoKey.h
+++ b/Libraries",ok,APPROVE,LadybirdBrowser/ladybird,5443
"diff --git a/Libraries/LibWeb/HTML/MessagePort.cpp b/Libraries/LibWeb/HTML/MessagePort.cpp
index 9824a8dfcf72..cce0cc7e0ed6 100644
--- a/Libraries/LibWeb/HTML/MessagePort.cpp
+++ b/Libraries/LibWeb/HTML/MessagePort.cpp
@@ -302,6 +302,9 @@ void MessagePort::read_from_transport()
 {
     VERIFY(m_enabled);
 
+    if (!is_entangled())
+        return;
+
     auto schedule_shutdown = m_transport->read_as_many_messages_as_possible_without_blocking([this](auto&& raw_message) {
         FixedMemoryStream stream { raw_message.bytes.span(), FixedMemoryStream::Mode::ReadOnly };
         IPC::Decoder decoder { stream, raw_message.fds };
diff --git a/Meta/Lagom/Tools/CodeGenerators/LibWeb/GenerateWindowOrWorkerInterfaces.cpp b/Meta/Lagom/Tools/CodeGenerators/LibWeb/GenerateWindowOrWorkerInterfaces.cpp
index b5f396e4e580..7d9006f54bcf 100644
--- a/Meta/Lagom/Tools/CodeGenerators/LibWeb/GenerateWindowOrWorkerInterfaces.cpp
+++ b/Meta/Lagom/Tools/CodeGenerators/LibWeb/GenerateWindowOrWorkerInterfaces.cpp
@@ -15,7 +15,16 @@
 #include <LibIDL/Types.h>
 #include <LibMain/Main.h>
 
-static ErrorOr<void> add_to_interface_sets(IDL::Interface&, Vector<IDL::Interface&>& intrinsics, Vector<IDL::Interface&>& window_exposed, Vector<IDL::Interface&>& dedicated_worker_exposed, Vector<IDL::Interface&>& shared_worker_exposed, Vector<IDL::Interface&>& shadow_realm_exposed);
+struct InterfaceSets {
+    Vector<IDL::Interface&> intrinsics;
+    Vector<IDL::Interface&> window_exposed;
+    Vector<IDL::Interface&> dedicated_worker_exposed;
+    Vector<IDL::Interface&> shared_worker_exposed;
+    Vector<IDL::Interface&> shadow_realm_exposed;
+    // TODO: service_worker_exposed
+};
+
+static ErrorOr<void> add_to_interface_sets(IDL::Interface&, InterfaceSets& interface_sets);
 static ByteString s_error_string;
 
 struct LegacyConstructor {
@@ -37,7 +46,7 @@ static void consume_whitespace(GenericLexer& lexer)
     }
 }
 
-static Optional<LegacyConstructor> const& lookup_legacy_constructor(IDL::Interface",bug,REQUEST_CHANGES,LadybirdBrowser/ladybird,5443
